patch_size,family,operation,precision_variant,observations,exact_equal_count,divergent_count,mean_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,total_num_unequal,total_num_elements,exact_equal_rate,divergent_rate,global_unequal_element_rate
9.0,patch_softmax,patch_softmax_a_9,fp32,30,8,22,0.3404234070900738,0.5731305731305731,1.2715657552083333e-07,2.384185791015625e-07,2.996726367788953e-07,4.377705353506821e-07,10212692,29999970,0.26666666666666666,0.7333333333333333,0.34042340709007374
9.0,patch_softmax,patch_softmax_b_9,fp32,30,8,22,0.340623807290474,0.5736565736565736,1.0728836059570313e-07,1.7881393432617188e-07,3.068119857519511e-07,4.549660396286795e-07,10218704,29999970,0.26666666666666666,0.7333333333333333,0.340623807290474
9.0,patch_softmax,patch_softmax_c_9,fp32,30,8,22,0.34048254048254045,0.573923573923574,1.3113021850585939e-07,1.7881393432617188e-07,3.0299977388270095e-07,4.4237478581687455e-07,10214466,29999970,0.26666666666666666,0.7333333333333333,0.3404825404825405
9.0,patch_softmax,patch_softmax_d_9,fp32,30,8,22,0.3402382735716069,0.574065574065574,1.5099843343098958e-07,2.384185791015625e-07,2.899968549944564e-07,4.382074859861246e-07,10207138,29999970,0.26666666666666666,0.7333333333333333,0.3402382735716069
9.0,patch_softmax,patch_softmax_mul_ab_9,fp32,30,8,22,0.33992973992973996,0.5748795748795749,1.708666483561198e-07,2.980232238769531e-07,3.288494467596618e-07,4.636842495734105e-07,10197882,29999970,0.26666666666666666,0.7333333333333333,0.3399297399297399
9.0,patch_softmax,patch_softmax_mul_cd_9,fp32,30,8,22,0.34013754013754016,0.5759285759285759,1.708666483561198e-07,2.980232238769531e-07,3.091246717346277e-07,4.723300774833876e-07,10204116,29999970,0.26666666666666666,0.7333333333333333,0.34013754013754016
9.0,patch_cumulative,patch_cumsum_a_9,fp32,30,12,18,0.18853638853638852,0.3142273142273142,5.7220458984375e-07,9.5367431640625e-07,0.028909214651047684,0.049342105263157895,5656086,29999970,0.4,0.6,0.18853638853638854
9.0,patch_cumulative,patch_cumsum_b_9,fp32,30,12,18,0.1887901887901888,0.3146503146503147,1.1444091796875e-06,1.9073486328125e-06,0.018779457774376517,0.03178879310344827,5663700,29999970,0.4,0.6,0.1887901887901888
9.0,patch_cumulative,patch_cumsum_c_9,fp32,30,12,18,0.18812718812718815,0.31354531354531356,1.1444091796875e-06,1.9073486328125e-06,0.011146472392638036,0.01875,5643810,29999970,0.4,0.6,0.18812718812718812
9.0,patch_cumulative,patch_cumsum_d_9,fp32,30,12,18,0.18861798861798862,0.3143633143633144,5.7220458984375e-07,9.5367431640625e-07,0.00754746835443038,0.012658227848101266,5658534,29999970,0.4,0.6,0.18861798861798862
9.0,patch_cumulative,patch_cumsum_mul_ab_9,fp32,30,12,18,0.18668778668778668,0.31114631114631114,1.1444091796875e-06,1.9073486328125e-06,0.01097910327120578,0.018465909090909092,5600628,29999970,0.4,0.6,0.18668778668778668
9.0,patch_cumulative,patch_cumsum_mul_cd_9,fp32,30,12,18,0.18695238695238695,0.31158731158731157,8.58306884765625e-07,1.430511474609375e-06,0.019827519379844963,0.03359173126614987,5608566,29999970,0.4,0.6,0.18695238695238695
9.0,patch_reduction,patch_mean_a_9,fp32,30,12,18,0.33096093096093093,0.5516015516015516,1.430511474609375e-07,2.384185791015625e-07,0.0005873895783771674,0.0009794618340093306,1103202,3333330,0.4,0.6,0.330960930960931
9.0,patch_reduction,patch_mean_b_9,fp32,30,12,18,0.32934632934632935,0.5489105489105489,1.430511474609375e-07,2.384185791015625e-07,0.0005206233540504703,0.0008680820465087891,1097820,3333330,0.4,0.6,0.32934632934632935
9.0,patch_reduction,patch_mean_c_9,fp32,30,12,18,0.3311715311715312,0.551952551952552,1.430511474609375e-07,2.384185791015625e-07,0.009114414939110157,0.015306063464960235,1103904,3333330,0.4,0.6,0.3311715311715312
9.0,patch_reduction,patch_mean_d_9,fp32,30,12,18,0.3304965304965305,0.5508275508275509,1.430511474609375e-07,2.384185791015625e-07,0.0027586248173592357,0.004608277432635565,1101654,3333330,0.4,0.6,0.3304965304965305
9.0,patch_reduction,patch_mean_mul_ab_9,fp32,30,12,18,0.32696492696492696,0.5449415449415449,1.430511474609375e-07,2.384185791015625e-07,0.00228571390900735,0.0038167793887885202,1089882,3333330,0.4,0.6,0.32696492696492696
9.0,patch_reduction,patch_mean_mul_cd_9,fp32,30,12,18,0.32864972864972863,0.5477495477495478,1.430511474609375e-07,2.384185791015625e-07,0.05383928417543676,0.09374999720603236,1095498,3333330,0.4,0.6,0.32864972864972863
9.0,patch_reduction,patch_norm_l1_a_9,fp32,30,12,18,0.26919566919566923,0.4486594486594487,1.71661376953125e-06,2.86102294921875e-06,1.611386775124962e-07,2.6856449858426223e-07,897318,3333330,0.4,0.6,0.2691956691956692
9.0,patch_reduction,patch_norm_l1_b_9,fp32,30,12,18,0.2705078705078705,0.45084645084645086,1.71661376953125e-06,2.86102294921875e-06,1.67531977084421e-07,2.792200007892619e-07,901692,3333330,0.4,0.6,0.2705078705078705
9.0,patch_reduction,patch_norm_l1_c_9,fp32,30,12,18,0.2674514674514674,0.44575244575244577,1.71661376953125e-06,2.86102294921875e-06,1.7651271766776482e-07,2.9418790605285733e-07,891504,3333330,0.4,0.6,0.2674514674514675
9.0,patch_reduction,patch_norm_l1_d_9,fp32,30,12,18,0.26833706833706833,0.44722844722844723,1.71661376953125e-06,2.86102294921875e-06,1.6097337379667662e-07,2.6828899231727644e-07,894456,3333330,0.4,0.6,0.26833706833706833
9.0,patch_reduction,patch_norm_l1_mul_ab_9,fp32,30,12,18,0.27167427167427166,0.45279045279045277,1.71661376953125e-06,2.86102294921875e-06,1.7615588229753647e-07,2.9359318026102587e-07,905580,3333330,0.4,0.6,0.27167427167427166
9.0,patch_reduction,patch_norm_l1_mul_cd_9,fp32,30,12,18,0.27061587061587056,0.451026451026451,1.71661376953125e-06,2.86102294921875e-06,1.5037783056503997e-07,2.506297490160276e-07,902052,3333330,0.4,0.6,0.2706158706158706
9.0,patch_reduction,patch_norm_l2_a_9,fp32,30,12,18,0.15229095229095227,0.2538182538182538,2.86102294921875e-07,4.76837158203125e-07,1.1601118734550078e-07,1.9335199760166183e-07,507636,3333330,0.4,0.6,0.1522909522909523
9.0,patch_reduction,patch_norm_l2_b_9,fp32,30,12,18,0.15442395442395443,0.2573732573732574,2.86102294921875e-07,4.76837158203125e-07,1.2218223582291644e-07,2.0363708043888677e-07,514746,3333330,0.4,0.6,0.15442395442395443
9.0,patch_reduction,patch_norm_l2_c_9,fp32,30,12,18,0.15329535329535332,0.2554922554922555,5.7220458984375e-07,9.5367431640625e-07,1.2843344060023087e-07,2.1405575724364682e-07,510984,3333330,0.4,0.6,0.1532953532953533
9.0,patch_reduction,patch_norm_l2_d_9,fp32,30,12,18,0.154018954018954,0.2566982566982567,2.86102294921875e-07,4.76837158203125e-07,1.2993014053352427e-07,2.1655025766954243e-07,513396,3333330,0.4,0.6,0.15401895401895402
9.0,patch_reduction,patch_norm_l2_mul_ab_9,fp32,30,12,18,0.1537057537057537,0.25617625617625617,5.7220458984375e-07,9.5367431640625e-07,1.264493199555587e-07,2.107488888001402e-07,512352,3333330,0.4,0.6,0.1537057537057537
9.0,patch_reduction,patch_norm_l2_mul_cd_9,fp32,30,12,18,0.15184275184275184,0.25307125307125306,5.7220458984375e-07,9.5367431640625e-07,1.3374464269115785e-07,2.2290776266252623e-07,506142,3333330,0.4,0.6,0.15184275184275184
9.0,patch_reduction,patch_std_a_9,fp32,30,12,18,0.19124119124119124,0.31873531873531874,1.430511474609375e-07,2.384185791015625e-07,1.3742249228286997e-07,2.2903751336720188e-07,637470,3333330,0.4,0.6,0.19124119124119124
9.0,patch_reduction,patch_std_b_9,fp32,30,12,18,0.19105759105759107,0.31842931842931843,1.430511474609375e-07,2.384185791015625e-07,1.3354972840993522e-07,2.2258290545479475e-07,636858,3333330,0.4,0.6,0.19105759105759107
9.0,patch_reduction,patch_std_c_9,fp32,30,12,18,0.19082539082539082,0.31804231804231803,1.430511474609375e-07,2.384185791015625e-07,1.2946574557542874e-07,2.15776265905408e-07,636084,3333330,0.4,0.6,0.19082539082539082
9.0,patch_reduction,patch_std_d_9,fp32,30,12,18,0.18945918945918946,0.31576531576531575,1.430511474609375e-07,2.384185791015625e-07,1.4018251061970323e-07,2.3363754499275023e-07,631530,3333330,0.4,0.6,0.18945918945918946
9.0,patch_reduction,patch_std_mul_ab_9,fp32,30,12,18,0.19208899208899208,0.3201483201483202,2.86102294921875e-07,4.76837158203125e-07,1.3700273857057685e-07,2.2833792368672585e-07,640296,3333330,0.4,0.6,0.19208899208899208
9.0,patch_reduction,patch_std_mul_cd_9,fp32,30,12,18,0.1928773928773929,0.32146232146232145,2.86102294921875e-07,4.76837158203125e-07,1.2664453201679447e-07,2.1107424230415397e-07,642924,3333330,0.4,0.6,0.1928773928773929
9.0,patch_reduction,patch_sum_a_9,fp32,30,12,18,0.3173799173799174,0.528966528966529,1.1444091796875e-06,1.9073486328125e-06,0.0005873716532082625,0.0009794319294809011,1057932,3333330,0.4,0.6,0.3173799173799174
9.0,patch_reduction,patch_sum_b_9,fp32,30,12,18,0.3165969165969166,0.5276615276615276,1.1444091796875e-06,1.9073486328125e-06,0.0005206074732581671,0.0008680555555555555,1055322,3333330,0.4,0.6,0.3165969165969166
9.0,patch_reduction,patch_sum_c_9,fp32,30,12,18,0.3178767178767179,0.5297945297945298,1.1444091796875e-06,1.9073486328125e-06,0.009114449800020512,0.015306122448979591,1059588,3333330,0.4,0.6,0.3178767178767179
9.0,patch_reduction,patch_sum_d_9,fp32,30,12,18,0.317023517023517,0.5283725283725283,1.1444091796875e-06,1.9073486328125e-06,0.0027586352682534986,0.004608294930875576,1056744,3333330,0.4,0.6,0.317023517023517
9.0,patch_reduction,patch_sum_fp64_mul_cd_9,fp64,30,12,18,5.400005400005401e-06,9.000009000009e-06,1.3322676295501878e-16,2.220446049250313e-16,2.200422371355433e-16,3.6673706189257223e-16,18,3333330,0.4,0.6,5.4000054000054e-06
9.0,patch_reduction,patch_sum_mul_ab_9,fp32,30,12,18,0.3144585144585144,0.5240975240975241,1.1444091796875e-06,1.9073486328125e-06,0.0022857225785853194,0.003816793893129771,1048194,3333330,0.4,0.6,0.31445851445851447
9.0,patch_reduction,patch_sum_mul_cd_9,fp32,30,12,18,0.3167697167697168,0.527949527949528,1.1444091796875e-06,1.9073486328125e-06,0.053839285714285715,0.09375,1055898,3333330,0.4,0.6,0.31676971676971677
9.0,patch_reduction,patch_var_a_9,fp32,30,12,18,0.31324351324351324,0.5220725220725221,2.86102294921875e-07,4.76837158203125e-07,2.0086392690874717e-07,3.347732675511302e-07,1044144,3333330,0.4,0.6,0.31324351324351324
9.0,patch_reduction,patch_var_b_9,fp32,30,12,18,0.31336771336771335,0.5222795222795222,4.291534423828125e-07,7.152557373046875e-07,1.8975985605576834e-07,3.1626647677184023e-07,1044558,3333330,0.4,0.6,0.31336771336771335
9.0,patch_reduction,patch_var_c_9,fp32,30,12,18,0.31324351324351324,0.5220725220725221,5.7220458984375e-07,9.5367431640625e-07,2.1117950263590804e-07,3.519658996664888e-07,1044144,3333330,0.4,0.6,0.31324351324351324
9.0,patch_reduction,patch_var_d_9,fp32,30,12,18,0.3120609120609121,0.5201015201015201,4.291534423828125e-07,7.152557373046875e-07,2.012170164088621e-07,3.3536175024850306e-07,1040202,3333330,0.4,0.6,0.3120609120609121
9.0,patch_reduction,patch_var_mul_ab_9,fp32,30,12,18,0.31599211599211596,0.5266535266535266,2.288818359375e-06,3.814697265625e-06,1.8817085851229758e-07,3.1361814669865154e-07,1053306,3333330,0.4,0.6,0.315992115992116
9.0,patch_reduction,patch_var_mul_cd_9,fp32,30,12,18,0.31712611712611716,0.5285435285435286,1.1444091796875e-06,1.9073486328125e-06,1.887098512911378e-07,3.1451646827885186e-07,1057086,3333330,0.4,0.6,0.3171261171261171
9.0,patch_cumulative,patch_cumsum_fp64_a_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_b_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_c_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_d_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_mul_ab_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_mul_cd_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,a_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,a_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,b_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,b_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,c_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,c_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,d_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,d_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,mul_ab_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,mul_ab_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,mul_cd_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,mul_cd_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_reduction,patch_amax_a_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
9.0,patch_reduction,patch_amax_b_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
9.0,patch_reduction,patch_amax_c_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
9.0,patch_reduction,patch_amax_d_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
9.0,patch_reduction,patch_amax_mul_ab_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
9.0,patch_reduction,patch_amax_mul_cd_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
9.0,patch_reduction,patch_amin_a_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
9.0,patch_reduction,patch_amin_b_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
9.0,patch_reduction,patch_amin_c_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3333330,1.0,0.0,0.0
